station_id,timestamp,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,solar_radiation,ingest_source,ingested_at
NCR001,2024-05-01T00:00:00Z,20.45,33.8,977.9,2.97,312.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T01:00:00Z,21.5,41.9,979.3,4.39,311.0,0.0,37.7,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T02:00:00Z,23.3,38.0,980.1,4.11,319.0,0.0,223.1,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T03:00:00Z,25.65,32.6,980.5,4.89,319.0,0.0,414.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T04:00:00Z,27.95,25.0,981.2,5.66,318.0,0.0,545.1,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T05:00:00Z,30.1,17.3,981.1,6.29,314.0,0.0,628.4,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T06:00:00Z,31.5,13.1,980.8,6.52,311.0,0.0,675.9,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T07:00:00Z,32.3,11.9,980.3,6.34,308.0,0.0,696.3,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T08:00:00Z,32.6,11.9,979.9,6.3,306.0,0.0,689.8,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T09:00:00Z,32.65,12.1,979.3,6.28,301.0,0.0,659.2,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T10:00:00Z,32.45,11.9,978.7,6.41,293.0,0.0,601.9,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T11:00:00Z,31.7,12.9,978.5,6.56,291.0,0.0,506.9,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T12:00:00Z,30.7,14.1,978.4,6.22,298.0,0.0,354.2,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T13:00:00Z,29.8,13.8,978.8,4.75,319.0,0.0,149.6,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T14:00:00Z,28.0,17.0,979.6,3.69,327.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T15:00:00Z,26.75,19.7,979.9,3.36,330.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T16:00:00Z,26.05,23.1,980.7,4.32,347.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T17:00:00Z,24.55,26.7,980.9,2.67,347.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T18:00:00Z,23.2,30.0,980.7,2.0,323.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T19:00:00Z,22.45,32.0,980.6,2.7,309.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T20:00:00Z,21.45,34.5,980.0,2.28,299.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T21:00:00Z,20.65,36.6,979.6,2.15,292.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T22:00:00Z,20.25,37.3,979.5,2.64,295.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-01T23:00:00Z,19.8,37.6,979.3,2.56,291.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T00:00:00Z,19.3,38.2,979.7,2.83,278.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T01:00:00Z,20.55,41.0,980.6,3.23,286.0,0.0,37.2,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T02:00:00Z,22.9,37.0,981.4,3.42,285.0,0.0,224.6,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T03:00:00Z,26.0,31.8,981.6,3.68,292.0,0.0,418.2,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T04:00:00Z,28.85,24.8,982.5,5.2,300.0,0.0,546.5,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T05:00:00Z,30.8,20.3,982.3,4.83,320.0,0.0,617.4,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T06:00:00Z,32.4,17.6,981.9,4.97,320.0,0.0,653.2,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T07:00:00Z,33.7,15.3,981.4,5.12,321.0,0.0,642.8,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T08:00:00Z,34.55,14.7,980.7,5.22,324.0,0.0,627.4,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T09:00:00Z,34.9,15.9,980.0,5.4,321.0,0.0,644.8,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T10:00:00Z,35.0,15.3,979.2,5.32,319.0,0.0,593.2,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T11:00:00Z,34.6,15.6,978.7,5.23,317.0,0.0,497.5,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T12:00:00Z,33.8,16.5,978.4,4.74,312.0,0.0,345.5,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T13:00:00Z,32.4,19.0,979.4,3.42,308.0,0.0,143.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T14:00:00Z,30.4,20.9,980.2,3.5,301.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T15:00:00Z,29.3,21.6,980.5,2.76,316.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T16:00:00Z,27.7,24.3,981.0,2.39,327.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T17:00:00Z,26.35,27.2,981.3,2.82,293.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T18:00:00Z,25.1,29.8,981.2,2.42,294.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
NCR001,2024-05-02T19:00:00Z,23.7,32.5,980.8,2.01,297.0,0.0,0.0,openmeteo_archive,2026-09-24T16:48:07.927368+00:00
